ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J090347.54+011446.0,20.49,0.05,18.61,0.04,17.58,0.02,16.38,0.02,15.59,0.01,14.96,0.01,14.57,0.03,14.27,0.05,L2.5   ,4.85,L3     ,7,Simbad,135.94808,1.24611
J090355.76+091443.4,20.59,0.05,18.49,0.04,17.63,0.03,16.66,0.01,16.08,0.01,15.54,0.01,15.16,0.04,15.16,0.09,L0     ,10.41,L0:    ,6,Simbad,135.98233,9.24539
J090521.61+100654.9,22.96,0.32,19.44,0.08,18.2,0.03,17.08,0.02,16.39,0.02,16.07,0.02,15.17,0.04,14.36,0.05,T1     ,9.89,       ,  ,Simbad,136.34004,10.11525
J090810.04-020549.5,21.27,0.13,19.17,0.1,18.36,0.04,17.29,0.03,16.6,0.02,15.96,0.03,15.77,0.05,15.28,0.09,L1     ,4.79,       ,  ,Simbad,137.04183,-2.09708
J091128.91+320644.6,19.92,0.03,17.84,0.03,16.96,0.01,15.93,0.01,15.35,0.01,14.85,0.01,14.52,0.03,14.39,0.05,L0     ,7.81,L0     ,4,Simbad,137.87046,32.11239
J091130.67+285908.6,20.3,0.06,18.23,0.03,17.49,0.02,16.46,0.01,15.74,0.02,15.18,0.02,14.9,0.03,14.66,0.06,L0     ,4.81,L0:    ,6,Simbad,137.87779,28.98572
J091201.98+060527.1,20.07,0.06,18.18,0.04,17.28,0.01,16.28,0.01,15.61,0.02,15.01,0.01,14.57,0.03,14.28,0.05,L1     ,11.7,M8.5:  ,6,Simbad,138.00825,6.09086
J091210.76+101126.6,20.71,0.07,18.69,0.05,17.78,0.03,16.8,0.01,16.17,0.02,15.61,0.02,     ,     ,     ,     ,L0:    ,0.8,       ,  ,Simbad,138.04483,10.19072
J091252.17-000823.4,21.12,0.1,19.1,0.09,18.38,0.04,17.33,0.03,16.71,0.02,16.15,0.03,15.8,0.05,15.62,0.12,L0     ,3.41,       ,  ,Simbad,138.21737,-0.13983
J091414.39+105719.3,19.29,0.03,17.31,0.02,16.33,0.01,15.41,0.01,14.75,0.01,14.31,0.01,14.03,0.03,13.69,0.04,L0     ,10.51,M9     ,3,Simbad,138.55996,10.95536
J091544.12+053103.9,23.48,0.63,19.58,0.14,18.14,0.02,16.93,0.01,16.54,0.03,16.58,0.05,     ,     ,     ,     ,T3:    ,6.94,T3     ,21,Simbad,138.93383,5.51775
J091556.47+051420.9,20.21,0.04,18.2,0.04,17.29,0.01,16.03,0.01,15.22,0.01,14.5,0.01,14.12,0.03,13.87,0.04,L3     ,4.84,L3:    ,6,Simbad,138.98529,5.23914
J091714.76+314824.9,20.51,0.04,18.32,0.03,17.44,0.02,16.36,0.01,15.67,0.01,15.09,0.01,14.78,0.03,14.49,0.06,L1     ,5.45,L1     ,7,Simbad,139.3115,31.80692
J091750.31+294444.8,19.84,0.04,17.72,0.03,16.84,0.01,15.74,0.01,15.05,0.01,14.46,0.01,14.1,0.03,13.82,0.04,L1.5   ,2.59,L0     ,4,Simbad,139.45962,29.74578
