ULAS,imag,e_imag,zmag,e_zmag,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,PhType,chi2,SpType,Ref,Simbad,_RA,_DE
J000005.87+152354.4,21.3,0.13,19.5,0.12,18.47,0.04,17.27,0.03,16.51,0.03,15.92,0.03,     ,     ,     ,     ,L2:    ,2.22,       ,  ,Simbad,0.02446,15.39844
J000100.45+065259.6,18.62,0.02,16.56,0.02,15.7,0.01,14.76,0.01,14.08,0.01,13.54,0.01,13.33,0.02,13.02,0.03,L0     ,5.62,       ,  ,Simbad,0.25187,6.88322
J000112.24+153534.3,19.92,0.04,17.99,0.03,16.88,0.01,15.46,0.01,14.48,0.01,13.62,0.01,12.97,0.02,12.54,0.02,L5.5p  ,55.82,L4     ,11,Simbad,0.301,15.59286
J000131.90+073528.1,21.02,0.06,19.08,0.06,18.13,0.03,17.18,0.02,16.43,0.03,15.9,0.03,15.65,0.05,15.38,0.1,L0     ,3.75,       ,  ,Simbad,0.38292,7.59114
J000158.77+020759.6,20.77,0.06,18.62,0.04,17.75,0.02,16.59,0.01,15.94,0.01,15.36,0.01,15.06,0.04,14.8,0.07,L1     ,3.78,       ,  ,Simbad,0.49487,2.13322
J000301.44+110218.4,20.52,0.05,18.49,0.04,17.6,0.02,16.6,0.01,15.91,0.02,15.35,0.02,15.08,0.04,14.84,0.07,L0     ,1.79,       ,  ,Simbad,0.756,11.03844
J000317.74+134519.5,20.66,0.07,18.82,0.06,17.87,0.03,16.95,0.02,16.27,0.02,15.75,0.02,15.4,0.04,15.2,0.09,L0     ,6.08,       ,  ,Simbad,0.82392,13.75542
J000334.77-001258.8,20.68,0.06,18.74,0.04,17.9,0.03,16.69,0.02,15.88,0.02,15.21,0.02,14.86,0.03,14.68,0.06,L2     ,8.45,L1.5:  ,6,Simbad,0.89487,-0.21633
J000449.16+071036.2,20.82,0.06,18.81,0.04,17.98,0.04,16.93,0.02,16.26,0.03,15.7,0.02,15.34,0.04,15.07,0.08,L0.5   ,1.6,       ,  ,Simbad,1.20483,7.17672
J000456.50+045131.1,22.01,0.31,19.77,0.19,18.98,0.07,17.47,0.03,16.64,0.03,15.92,0.02,15.28,0.04,15.14,0.1,L4.5   ,6.23,       ,  ,Simbad,1.23542,4.85864
J000555.68+093554.9,20.47,0.07,18.29,0.05,17.38,0.02,16.34,0.01,15.76,0.01,15.23,0.01,14.96,0.04,14.63,0.06,L0     ,5.83,       ,  ,Simbad,1.482,9.59858
J000646.79+151225.7,20.64,0.06,18.57,0.06,17.57,0.02,16.21,0.01,15.38,0.01,14.7,0.01,14.15,0.03,13.9,0.04,L4     ,4.4,L4:    ,6,Simbad,1.69496,15.20714
J000655.45+023635.6,20.77,0.05,18.59,0.05,17.7,0.02,16.29,0.01,15.37,0.01,14.65,0.01,14.09,0.03,13.78,0.04,L4.5   ,6.17,       ,  ,Simbad,1.73104,2.60989
J000740.29+014318.3,21.07,0.07,19.06,0.05,18.12,0.04,16.77,0.02,16,0.02,15.24,0.01,14.72,0.03,14.34,0.06,L4     ,5.42,       ,  ,Simbad,1.91787,1.72175
J000812.84+080642.1,20.69,0.05,18.65,0.04,17.62,0.03,16.56,0.02,15.86,0.02,15.32,0.02,14.96,0.04,14.61,0.06,L1.5   ,5.12,       ,  ,Simbad,2.0535,8.11169
J000844.34+012729.4,     ,     ,     ,     ,18.2,0.04,16.99,0.02,17.4,0.06,17.54,0.1,17.02,0.14,14.83,0.07,T6.5:  ,1.26,       ,  ,Simbad,2.18475,1.45817
J000949.60+062525.1,21.46,0.09,19.28,0.06,18.28,0.04,16.99,0.02,16.25,0.02,15.73,0.02,15.14,0.04,15.12,0.09,L2.5   ,14.84,       ,  ,Simbad,2.45667,6.42364
J001201.55+014137.9,21.48,0.16,19.42,0.08,18.41,0.05,17.24,0.03,16.55,0.03,15.98,0.02,15.6,0.05,15.51,0.11,L1.5   ,4.54,       ,  ,Simbad,3.00646,1.69386
J001234.13+111623.2,21.31,0.12,19.72,0.14,18.53,0.05,17.47,0.03,16.86,0.04,16.26,0.04,15.82,0.05,15.68,0.16,L1     ,7.47,       ,  ,Simbad,3.14221,11.27311
J001306.32+050851.2,20.91,0.09,19.04,0.09,18.1,0.03,16.75,0.02,15.72,0.01,14.91,0.01,14.33,0.03,13.97,0.04,L5p    ,25.83,       ,  ,Simbad,3.27633,5.14756
J001334.74+110940.0,20.29,0.05,18.14,0.04,16.98,0.01,15.73,0.01,14.84,0.01,14.1,0.01,13.61,0.03,13.24,0.03,L4.5   ,10.36,       ,  ,Simbad,3.39475,11.16111
J001514.83+024803.9,19.71,0.03,17.7,0.03,16.81,0.01,15.76,0.01,15.1,0.01,14.48,0.01,14.1,0.03,13.78,0.04,L1     ,4.05,       ,  ,Simbad,3.81179,2.80108
J001530.83+070148.2,19.67,0.03,17.57,0.02,16.7,0.01,15.74,0.01,15.16,0.01,14.6,0.01,14.33,0.03,14,0.04,L0     ,6.21,       ,  ,Simbad,3.87846,7.03006
J001608.49-004302.2,20.82,0.06,18.62,0.04,17.7,0.02,16.3,0.01,15.34,0.01,14.51,0.01,13.84,0.03,13.39,0.03,L5.5   ,19.7,L5.5   ,11,Simbad,4.03537,-0.71728
J001804.88+121511.2,21.39,0.12,19.36,0.1,18.53,0.04,17.48,0.03,16.86,0.03,16.29,0.04,15.91,0.06,15.73,0.15,L0.5   ,1.71,       ,  ,Simbad,4.52033,12.25311
J001851.67+044044.5,21.14,0.11,19.26,0.1,18.43,0.04,17.32,0.03,16.72,0.03,16.21,0.03,15.96,0.06,15.53,0.13,L0     ,2.96,       ,  ,Simbad,4.71529,4.67903
J001917.08+024820.7,19.83,0.03,17.84,0.04,16.92,0.01,15.98,0.01,15.34,0.01,14.78,0.01,14.5,0.03,14.27,0.05,L0     ,3.39,       ,  ,Simbad,4.82117,2.80575
J001950.04+031529.6,19.47,0.03,17.51,0.03,16.62,0.01,15.66,0.01,14.91,0.01,14.37,0.01,14.18,0.03,13.91,0.04,L0     ,5.96,       ,  ,Simbad,4.9585,3.25822
J002030.82+140845.5,21.52,0.12,19.38,0.08,18.52,0.04,17.35,0.02,16.52,0.03,15.89,0.03,15.34,0.04,15.24,0.11,L3     ,3.5,       ,  ,Simbad,5.12842,14.14597
J002058.50+063609.0,20.82,0.07,18.97,0.06,17.9,0.03,16.97,0.02,16.35,0.02,15.81,0.03,15.55,0.05,15.52,0.12,L0     ,10.61,       ,  ,Simbad,5.24375,6.6025
J002110.55+000413.4,21.14,0.07,19.18,0.07,18.28,0.04,17.24,0.03,16.6,0.03,16.04,0.03,15.76,0.05,15.77,0.16,L0     ,3.05,       ,  ,Simbad,5.29396,0.07039
J002138.89+002605.6,21.03,0.08,19.24,0.07,18.64,0.06,17.34,0.03,16.59,0.03,16.09,0.03,15.76,0.05,15.35,0.1,L1     ,19.95,L1.5   ,10,Simbad,5.41204,0.43489
J002327.75+110948.0,21.01,0.09,19.13,0.07,18.07,0.03,16.87,0.02,16.1,0.02,15.51,0.02,15.08,0.04,14.91,0.07,L2.5   ,6.02,       ,  ,Simbad,5.86562,11.16333
J002346.34+071544.0,21.26,0.07,19.2,0.06,18.27,0.04,17.24,0.03,16.55,0.03,16.02,0.03,15.83,0.05,15.42,0.11,L0.5   ,3.62,       ,  ,Simbad,5.94308,7.26222
J002419.42+144817.5,21.11,0.09,19.05,0.07,18.09,0.04,17.05,0.02,16.33,0.03,15.78,0.03,15.25,0.04,15,0.09,L1.5   ,6.05,       ,  ,Simbad,6.08092,14.80486
J002554.18+073729.8,20.26,0.04,18.29,0.04,17.36,0.02,16.42,0.02,15.65,0.01,15.13,0.01,14.85,0.03,14.65,0.06,L0     ,5.49,       ,  ,Simbad,6.47575,7.62494
J002640.45+063215.1,18.55,0.02,16.46,0.02,15.52,0.01,14.42,0.01,13.76,0.01,13.23,0.01,12.96,0.03,12.68,0.03,L0.5   ,8.07,L0     ,28,Simbad,6.66854,6.53753
J002645.42+110439.9,21.22,0.1,19.06,0.07,18.22,0.03,17.26,0.02,16.64,0.02,16.1,0.03,15.84,0.05,15.53,0.14,L0     ,3.65,       ,  ,Simbad,6.68925,11.07775
J002741.97+050341.8,20.03,0.04,18.18,0.04,17.18,0.01,16.14,0.01,15.52,0.01,14.94,0.01,14.62,0.03,14.07,0.05,L1     ,18.18,M9.5   ,14,Simbad,6.92487,5.06161
J002751.47+051140.9,21.29,0.12,19.3,0.11,18.38,0.03,17.15,0.02,16.45,0.02,15.79,0.02,15.37,0.04,15.27,0.1,L2     ,3.21,       ,  ,Simbad,6.96446,5.19469
J002839.52+150141.5,21.33,0.1,18.98,0.07,18.02,0.04,16.55,0.02,15.45,0.02,14.6,0.01,13.89,0.03,13.53,0.04,L7p    ,31.05,L4.5   ,18,Simbad,7.16467,15.02819
J002845.37+113154.9,19.76,0.03,17.65,0.03,16.85,0.01,15.85,0.01,15.27,0.01,14.78,0.01,14.44,0.03,14.09,0.05,L0     ,9.36,       ,  ,Simbad,7.18904,11.53192
J002924.20+030320.5,19.48,0.03,17.49,0.02,16.61,0.01,15.63,0.01,14.96,0.01,14.44,0.01,14.19,0.03,13.93,0.04,L0     ,2.86,       ,  ,Simbad,7.35083,3.05569
J003012.47+045412.0,21.58,0.12,19.29,0.08,18.3,0.03,16.94,0.02,16.04,0.01,15.25,0.01,14.63,0.03,14.23,0.05,L5.5   ,1.81,       ,  ,Simbad,7.55196,4.90333
J003114.19+104750.6,20.42,0.06,18.29,0.04,17.32,0.01,16.26,0.01,15.62,0.01,14.98,0.01,14.66,0.03,14.31,0.06,L1.5   ,6.78,       ,  ,Simbad,7.80912,10.79739
J003128.13+114208.1,21.61,0.17,19.33,0.09,18.6,0.05,17.29,0.02,16.61,0.02,15.99,0.03,15.64,0.05,15.36,0.14,L2     ,4.53,       ,  ,Simbad,7.86721,11.70225
J003205.34+021858.6,18.27,0.02,16.38,0.03,15.44,0.01,14.22,0.01,13.45,0.01,12.8,0.01,12.46,0.02,12.22,0.03,L2     ,7.66,L1.5   ,2,Simbad,8.02225,2.31628
J003259.51+141037.2,22.72,0.41,18.89,0.07,17.83,0.03,16.65,0.02,15.69,0.01,15,0.01,14.29,0.03,13.73,0.04,L9     ,5.03,L8     ,20,Simbad,8.24796,14.177
J003342.97-010034.1,21.12,0.09,19.38,0.09,18.34,0.06,17.31,0.04,16.56,0.04,15.81,0.03,15.62,0.05,15.4,0.11,L1.5   ,11.01,       ,  ,Simbad,8.42904,-1.00947
J003451.98+052306.8,24.09,0.61,18.38,0.04,16.21,0.01,15.14,0.01,15.58,0.01,16.07,0.03,15.09,0.04,12.55,0.03,T7p    ,45.15,T6.5   ,1,Simbad,8.71658,5.38522
J003550.62+061558.6,19.16,0.03,17.16,0.03,16.25,0.01,15.26,0.01,14.64,0.01,14.1,0.01,13.78,0.03,13.51,0.04,L0     ,1.26,       ,  ,Simbad,8.96092,6.26628
J003556.76+081522.0,22,0.26,19.48,0.13,18.65,0.03,17.31,0.02,16.45,0.03,15.85,0.02,15.2,0.04,14.89,0.09,L4     ,4.34,       ,  ,Simbad,8.9865,8.25611
J003655.43+045538.5,21.06,0.08,19.12,0.08,18.36,0.03,17.34,0.02,16.69,0.03,16.11,0.03,15.57,0.05,15.28,0.1,L0.5   ,18.45,       ,  ,Simbad,9.23096,4.92736
J003820.46+032347.0,21.26,0.09,19.29,0.07,18.32,0.03,17.23,0.02,16.61,0.02,16.1,0.03,15.76,0.05,15.54,0.14,L0.5   ,2.08,       ,  ,Simbad,9.58525,3.39639
J003844.01+134339.0,19.97,0.04,17.88,0.03,16.95,0.01,15.89,0.01,15.28,0.01,14.77,0.01,14.43,0.03,14.25,0.05,L0     ,6.15,L1     ,5,Simbad,9.68337,13.7275
J003933.36+100142.8,21.04,0.09,19,0.08,18.06,0.03,16.88,0.02,16.1,0.02,15.47,0.02,14.93,0.04,14.67,0.08,L3     ,2.29,       ,  ,Simbad,9.889,10.02856
J004103.77+092319.9,21.01,0.08,19.24,0.07,18.31,0.04,17.35,0.02,16.58,0.03,15.93,0.03,15.67,0.05,15.42,0.14,L0.5   ,12.19,       ,  ,Simbad,10.26571,9.38886
J004150.38+071021.9,21.08,0.07,19.18,0.07,18.22,0.03,16.89,0.02,16.1,0.02,15.36,0.02,14.99,0.04,14.77,0.09,L3     ,8.67,       ,  ,Simbad,10.45992,7.17275
J004154.44+134134.0,18.43,0.02,16.35,0.02,15.39,0.01,14.37,0.01,13.76,0.01,13.21,0.01,12.88,0.02,12.59,0.03,L0.5   ,5.19,L0     ,5,Simbad,10.47683,13.69278
J004244.56+052559.4,21.42,0.15,19.5,0.11,18.41,0.04,17.15,0.03,16.38,0.02,15.8,0.02,15.49,0.05,15.16,0.11,L2.5   ,8.29,       ,  ,Simbad,10.68567,5.43317
J004259.29+114209.8,18.6,0.02,16.49,0.02,15.65,0.01,14.7,0.01,14.09,0.01,13.51,0.01,13.25,0.02,12.92,0.03,L0     ,5.66,       ,  ,Simbad,10.74704,11.70272
J004350.11+092842.3,20.34,0.05,18.3,0.03,17.47,0.02,16.27,0.01,15.48,0.01,14.84,0.01,14.52,0.03,14.29,0.05,L2     ,4.23,       ,  ,Simbad,10.95879,9.47842
J004350.54+015237.7,21.14,0.1,18.92,0.06,18.11,0.03,16.99,0.02,16.28,0.02,15.81,0.02,15.47,0.05,15.25,0.1,L0.5   ,5.14,       ,  ,Simbad,10.96058,1.87714
J004403.37+022810.7,21.78,0.15,19.53,0.1,18.69,0.04,17.06,0.02,15.89,0.02,14.83,0.01,14.02,0.03,13.45,0.04,L7p    ,208.39,       ,  ,Simbad,11.01404,2.46964
J004615.56+025159.6,18.3,0.02,16.22,0.02,15.38,0.01,14.35,0.01,13.79,0.01,13.26,0.01,13,0.03,12.69,0.03,L0     ,6.25,       ,  ,Simbad,11.56483,2.86656
J004648.07+160807.9,19.46,0.04,17.53,0.04,16.62,0.01,15.62,0.01,14.97,0.01,14.42,0.01,14.16,0.03,13.89,0.04,L0     ,1.38,       ,  ,Simbad,11.70029,16.13553
J004648.46+071517.2,18.15,0.01,15.99,0.03,14.89,0.01,13.82,0.01,13.17,0.01,12.51,0.01,12.09,0.02,11.64,0.02,L2.5p  ,23.86,M9     ,15,Simbad,11.70192,7.25478
J004715.71+145206.2,20.82,0.08,18.99,0.07,18.04,0.03,17.04,0.02,16.44,0.02,15.92,0.02,15.53,0.05,15.49,0.12,L0     ,6.47,       ,  ,Simbad,11.81546,14.86839
J004730.55+113222.5,22.99,0.42,19.92,0.17,18.37,0.04,17.17,0.03,16.77,0.04,16.9,0.06,16.3,0.07,15.11,0.09,T3     ,15.59,       ,  ,Simbad,11.87729,11.53958
J004735.98+032828.5,21.26,0.1,19.44,0.09,18.51,0.04,17.36,0.03,16.66,0.03,16.08,0.03,15.97,0.06,15.5,0.15,L0.5   ,7.55,       ,  ,Simbad,11.89992,3.47458
J004844.95+012322.8,19.2,0.02,17.23,0.03,16.32,0.01,15.28,0.01,14.56,0.01,13.96,0.01,13.6,0.03,13.27,0.03,L1     ,4.18,       ,  ,Simbad,12.18729,1.38967
J004928.44+044059.7,21.26,0.12,18,0.04,16.9,0.01,15.77,0.01,14.8,0.01,14.13,0.01,13.43,0.03,12.96,0.03,L9     ,9.91,L9     ,9,Simbad,12.3685,4.68325
J004928.62+123441.1,21.12,0.1,19.03,0.07,18.3,0.03,17.26,0.02,16.71,0.03,16.09,0.03,15.78,0.05,15.5,0.12,L0     ,4.34,       ,  ,Simbad,12.36925,12.57808
J004931.69-002058.6,20.72,0.05,18.66,0.04,17.65,0.02,16.52,0.01,15.8,0.01,15.17,0.01,14.82,0.04,14.41,0.06,L2     ,4.1,L2.5:  ,6,Simbad,12.38204,-0.34961
J004935.15+080721.1,21.66,0.23,19.58,0.15,18.57,0.04,17.45,0.03,16.77,0.05,16.1,0.03,15.86,0.06,15.9,0.17,L1.5   ,7.03,       ,  ,Simbad,12.39646,8.12253
J005011.92+144341.2,23.08,0.75,19.51,0.11,18.26,0.04,17.16,0.02,16.64,0.04,16.18,0.03,15.48,0.04,14.6,0.06,T1.5   ,4.86,       ,  ,Simbad,12.54967,14.72811
J005015.61+101243.1,21.09,0.08,19.37,0.1,18.17,0.03,16.7,0.02,15.86,0.02,15.08,0.01,14.57,0.03,14.22,0.05,L4.5p  ,21.62,       ,  ,Simbad,12.56504,10.21197
J005040.74+121949.1,20.91,0.08,18.8,0.06,18.04,0.03,16.92,0.02,16.28,0.02,15.73,0.03,15.3,0.04,14.99,0.08,L1     ,4.64,       ,  ,Simbad,12.66975,12.33031
J005211.57-000625.8,21.02,0.07,18.97,0.06,18,0.03,16.85,0.02,16.12,0.01,15.45,0.02,15.17,0.04,14.92,0.09,L2     ,3.56,       ,  ,Simbad,13.04821,-0.10717
J005212.28+001216.4,21.08,0.07,18.73,0.05,17.87,0.03,16.54,0.02,15.81,0.01,15.21,0.01,14.67,0.03,14.35,0.06,L3     ,10.75,L2     ,19,Simbad,13.05117,0.20456
J005406.64-003103.0,19.73,0.03,17.72,0.02,16.86,0.01,15.63,0.01,14.92,0.01,14.3,0.01,14,0.03,13.76,0.05,L1.5   ,3.76,L1     ,5,Simbad,13.52767,-0.5175
J005505.68+013436.0,20.67,0.07,18.75,0.06,17.71,0.02,16.37,0.01,15.29,0.01,14.4,0.01,13.71,0.03,13.25,0.03,L6p    ,60.76,       ,  ,Simbad,13.77367,1.57667
J005548.21-003632.9,21.58,0.12,19.22,0.07,18.48,0.05,17.44,0.03,16.71,0.04,16.27,0.04,15.87,0.06,15.6,0.17,L0.5   ,8.09,       ,  ,Simbad,13.95087,-0.60914
J005604.33+121510.7,21.72,0.15,19.32,0.09,18.54,0.04,17.5,0.03,16.75,0.04,16.29,0.04,15.88,0.05,15.57,0.14,L1     ,6.93,       ,  ,Simbad,14.01804,12.25297
J005635.54-010351.3,21.2,0.08,19.05,0.06,18.29,0.05,17.3,0.03,16.67,0.03,16.13,0.03,15.75,0.05,15.6,0.18,L0     ,4.28,       ,  ,Simbad,14.14808,-1.06425
J005636.22-011132.5,21.86,0.24,19.43,0.08,18.46,0.06,17.46,0.03,17,0.05,16.5,0.05,16.05,0.06,15.76,0.18,L0     ,13.21,L1.5   ,10,Simbad,14.15092,-1.19236
J005639.47+024914.2,21.36,0.13,19.21,0.27,18.3,0.03,17.28,0.02,16.58,0.03,16.11,0.03,     ,     ,     ,     ,L0:    ,3.12,       ,  ,Simbad,14.16446,2.82061
J005711.48+100307.9,21.2,0.13,19.32,0.11,18.47,0.04,17.21,0.03,16.49,0.03,15.89,0.03,15.53,0.05,15.09,0.09,L2     ,3.71,       ,  ,Simbad,14.29783,10.05219
J005900.42+103422.4,21.19,0.1,19.21,0.07,18.31,0.03,17.29,0.02,16.62,0.03,16.14,0.03,15.79,0.05,15.77,0.15,L0     ,3.06,       ,  ,Simbad,14.75175,10.57289
J005925.13+144404.5,20.78,0.07,18.67,0.05,17.83,0.03,16.9,0.02,16.26,0.02,15.74,0.02,15.43,0.04,15.06,0.08,L0     ,5.82,L0:    ,6,Simbad,14.85471,14.73458
J005935.54+150905.6,20.21,0.05,18.14,0.04,17.32,0.02,16.3,0.01,15.72,0.01,15.18,0.01,14.9,0.03,14.6,0.06,L0     ,4.02,M9     ,3,Simbad,14.89808,15.15156
J010000.02+090955.8,21.57,0.18,19.53,0.12,18.77,0.06,17.4,0.03,16.57,0.03,15.83,0.03,15.41,0.04,15.14,0.1,L3.5   ,4.84,       ,  ,Simbad,15.00008,9.1655
J010129.06+110100.0,20.42,0.06,18.52,0.05,17.59,0.02,16.64,0.01,15.97,0.02,15.42,0.02,15.15,0.04,14.99,0.08,L0     ,5.04,       ,  ,Simbad,15.37108,11.01667
J010153.12+152819.8,19.23,0.03,17.26,0.02,16.31,0.01,15.31,0.01,14.68,0.01,14.15,0.01,13.78,0.03,13.51,0.03,L0     ,3.93,M9.5:  ,6,Simbad,15.47133,15.47217
J010202.08+035541.4,22.37,0.31,18.99,0.07,17.9,0.02,16.72,0.02,15.7,0.01,15.01,0.01,14.22,0.03,13.65,0.04,L8.5   ,5.44,       ,  ,Simbad,15.50867,3.92817
J010407.74-005328.5,21.27,0.09,18.84,0.05,17.86,0.03,16.53,0.01,15.79,0.02,15.22,0.02,14.68,0.03,14.47,0.06,L3p    ,20.25,L5     ,19,Simbad,16.03225,-0.89125
J010453.20+104023.0,21.62,0.21,19.65,0.14,18.63,0.06,17.24,0.03,16.4,0.02,15.71,0.02,15.22,0.04,14.93,0.07,L4     ,4.43,       ,  ,Simbad,16.22167,10.67306
J010524.66+030700.8,20.84,0.08,18.83,0.06,17.94,0.03,16.96,0.02,16.33,0.02,15.84,0.02,15.61,0.05,15.19,0.1,L0     ,4.92,       ,  ,Simbad,16.35275,3.11689
J010527.55+100018.1,21.21,0.12,19.45,0.13,18.49,0.04,17.38,0.02,16.66,0.03,16.11,0.03,15.98,0.05,15.78,0.13,L0.5   ,9.02,       ,  ,Simbad,16.36479,10.00503
J010635.57+055734.0,19.56,0.04,17.76,0.03,16.77,0.01,15.88,0.01,15.16,0.01,14.62,0.01,14.3,0.03,14.15,0.05,L0     ,12.84,       ,  ,Simbad,16.64821,5.95944
J010652.66+131256.0,20.54,0.06,18.61,0.05,17.64,0.02,16.49,0.01,15.91,0.02,15.4,0.02,15.07,0.03,14.72,0.06,L0.5   ,5.47,       ,  ,Simbad,16.71942,13.21556
J010807.96+022837.5,21.44,0.1,19.33,0.08,18.34,0.04,17.02,0.02,16.13,0.02,15.43,0.01,14.98,0.04,14.66,0.07,L4     ,3.98,       ,  ,Simbad,17.03317,2.47708
J010907.51+062559.0,18.58,0.02,16.58,0.02,15.65,0.01,14.49,0.01,13.85,0.01,13.27,0.01,12.79,0.02,12.48,0.03,L1.5   ,5.57,       ,  ,Simbad,17.28129,6.43306
J011005.81+041510.4,21.82,0.47,19.34,0.1,18.5,0.05,17.34,0.03,16.65,0.03,16.12,0.03,     ,     ,     ,     ,L1:    ,1.68,       ,  ,Simbad,17.52421,4.25289
J011151.89-010534.1,21.93,0.15,19.81,0.1,18.64,0.06,17.34,0.03,16.53,0.03,15.93,0.03,15.43,0.04,15.01,0.09,L3.5   ,9.25,L3.5   ,29,Simbad,17.96621,-1.09281
J011201.84+131659.3,20.69,0.13,18.48,0.04,17.6,0.02,16.63,0.02,15.9,0.02,15.34,0.02,     ,     ,     ,     ,L0.5:  ,4.38,       ,  ,Simbad,18.00767,13.28314
J011218.06+124152.8,21.38,0.12,19.69,0.11,18.54,0.05,17.43,0.04,16.77,0.03,16.24,0.04,15.78,0.05,15.35,0.1,L1.5   ,8.87,       ,  ,Simbad,18.07525,12.698
J011245.87+132658.8,20.93,0.06,18.76,0.04,18.01,0.03,16.99,0.02,16.3,0.02,15.76,0.02,15.48,0.04,15.25,0.09,L0     ,3.48,       ,  ,Simbad,18.19112,13.44967
J011306.19+124804.6,20.52,0.04,18.43,0.03,17.59,0.02,16.69,0.01,16.03,0.02,15.46,0.02,15.2,0.04,14.95,0.08,L0     ,7,       ,  ,Simbad,18.27579,12.80128
J011309.88+125522.8,21.17,0.07,19.16,0.06,18.38,0.03,17.36,0.02,16.73,0.04,16.25,0.04,15.88,0.05,15.59,0.13,L0     ,3.66,       ,  ,Simbad,18.29117,12.923
J011358.06+073000.3,21.29,0.09,19.19,0.08,18.36,0.04,17.35,0.02,16.74,0.03,16.18,0.03,16.03,0.06,15.71,0.14,L0     ,4.15,       ,  ,Simbad,18.49192,7.50008
J011424.28+032253.8,21.14,0.09,19.25,0.08,18.32,0.03,17.09,0.02,16.38,0.02,15.8,0.02,15.57,0.05,15.39,0.1,L1.5   ,8.88,       ,  ,Simbad,18.60117,3.38161
J011551.96+140258.5,21.15,0.08,18.97,0.05,18.1,0.03,17.14,0.02,16.54,0.03,15.97,0.03,15.61,0.05,15.91,0.16,L0     ,14.34,       ,  ,Simbad,18.9665,14.04958
J011558.21+071255.1,21.11,0.13,19.34,0.12,18.24,0.04,17.24,0.02,16.57,0.02,16.11,0.03,15.76,0.05,15.57,0.12,L0     ,4.54,       ,  ,Simbad,18.99254,7.21531
J011816.77+141841.5,20.9,0.07,18.9,0.06,18.04,0.04,16.98,0.03,16.28,0.02,15.66,0.02,15.45,0.04,15.25,0.1,L0.5   ,3.14,L1     ,7,Simbad,19.56987,14.31153
J011845.50+152942.6,20.22,0.05,18.25,0.04,17.26,0.02,16.27,0.01,15.65,0.01,15.05,0.01,14.76,0.03,14.39,0.05,L0.5   ,4.56,L0:    ,6,Simbad,19.68958,15.49517
J011942.99+112244.8,21.53,0.14,19.25,0.08,18.45,0.04,17.37,0.02,16.65,0.03,16.08,0.03,     ,     ,     ,     ,L1:    ,2.49,       ,  ,Simbad,19.92912,11.37911
J011955.25+130153.9,21.18,0.11,19.31,0.09,18.39,0.05,17.37,0.03,16.62,0.03,16.17,0.03,15.79,0.05,15.74,0.15,L0.5   ,4.76,       ,  ,Simbad,19.98021,13.03164
J012051.60+070104.1,20.38,0.04,18.47,0.05,17.6,0.02,16.45,0.01,15.72,0.01,15.1,0.01,14.77,0.03,14.55,0.06,L1.5   ,4.38,       ,  ,Simbad,20.215,7.01781
J012052.60+151827.2,20.18,0.05,18.17,0.03,17.11,0.02,16.09,0.01,15.5,0.01,14.92,0.01,14.6,0.03,14.24,0.05,L0.5   ,9.54,       ,  ,Simbad,20.21917,15.30756
J012126.99+015803.6,20.49,0.05,18.49,0.04,17.68,0.03,16.72,0.02,15.88,0.02,15.44,0.02,15.08,0.04,14.88,0.07,L0     ,9.05,       ,  ,Simbad,20.36246,1.96767
J012139.53+024724.0,19.04,0.03,17.04,0.03,16.2,0.01,15.2,0.01,14.54,0.01,13.99,0.01,13.77,0.03,13.55,0.03,L0     ,5.66,       ,  ,Simbad,20.41471,2.79
J012217.00+033122.0,     ,     ,17.5,0.02,16.44,0.01,15.35,0.01,14.74,0.01,14.2,0.01,     ,     ,     ,     ,L1:    ,7.79,       ,  ,Simbad,20.57083,3.52278
J012218.51+141055.9,21.26,0.1,19.11,0.07,18.38,0.05,17.3,0.03,16.68,0.03,16.13,0.03,16.05,0.06,15.66,0.13,L0     ,8.27,       ,  ,Simbad,20.57712,14.18219
J012236.32+153339.3,20.36,0.06,18.29,0.04,17.26,0.02,16.27,0.01,15.66,0.01,15.07,0.01,14.8,0.03,14.42,0.05,L0.5   ,8.57,L0     ,3,Simbad,20.65133,15.56092
J012237.06+070557.8,21.32,0.1,19.14,0.07,18.24,0.03,17.09,0.02,16.35,0.02,15.79,0.02,15.46,0.04,15.57,0.13,L1.5   ,12.01,       ,  ,Simbad,20.65442,7.09939
J012323.75+011602.0,21.46,0.1,19.15,0.06,18.19,0.03,17.05,0.02,16.28,0.03,15.68,0.02,15.34,0.04,15.18,0.08,L2     ,9.92,       ,  ,Simbad,20.84896,1.26722
J012406.54+140441.8,20.4,0.05,18.32,0.04,17.32,0.02,16.21,0.01,15.48,0.01,14.89,0.01,14.55,0.03,14.23,0.05,L2     ,5.07,       ,  ,Simbad,21.02725,14.07828
J012418.96+055025.5,20.73,0.1,18.62,0.06,17.77,0.03,16.59,0.01,15.96,0.01,15.4,0.01,15.02,0.04,14.65,0.06,L1     ,4.15,       ,  ,Simbad,21.079,5.84042
J012424.69+133510.8,21,0.08,19.07,0.07,18.14,0.04,17.07,0.03,16.45,0.03,15.99,0.03,15.55,0.05,15.23,0.09,L0.5   ,5.01,       ,  ,Simbad,21.10287,13.58633
J012503.24+084049.5,20.58,0.08,18.45,0.05,17.54,0.02,16.61,0.01,15.9,0.02,15.38,0.02,15.11,0.04,14.94,0.08,L0     ,5.23,       ,  ,Simbad,21.2635,8.68042
